"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"100","c_P07","3","CONTROL",-0.417476329702743,72.1034477583333,0.102576625733785,0.985718861656226,-0.497678253142721,1,1.4,6.5,7,6,"low",-1.50753144516061,-3.41274269372898,"CONTROL","CONTROL"
"101","c_P07","3","DIFF",0.817314549099384,96.081337609375,1.07795149055525,0.359272647822976,3.22590988330969,0.75,6.8,6.5,7,6,"low",1.058157245106,-18.1367208234952,"DIFF","DIFF"
"102","c_P07","3","EASY",0.119434473437855,82.1698781746032,0.856526443070382,0.0618201887612049,2.38920711090408,1,2.2,6.5,7,6,"low",0.707485227057302,-16.7862330578405,"EASY","EASY"
"103","c_P07","4","CONTROL",-0.303636323862148,72.7658085559567,0.668964742781091,-0.14477810215567,-0.497678253142721,1,2.6,6.5,7,6,"low",-0.481167835641533,-11.0182153664539,"CONTROL","CONTROL"
"104","c_P07","4","DIFF",0.907569495265757,97.1125963490196,2.01951138727113,1.38933461321928,2.86864702212571,0.5,10.2,6.5,7,6,"low",-0.650095867722728,-5.29141536390608,"DIFF","DIFF"
"105","c_P07","4","EASY",0.119937657864968,80.4618129638989,1.44512862560345,-0.513785875072293,1.18888447572884,1,10.6,6.5,7,6,"low",2.13326980195201,-28.3433792480354,"EASY","EASY"
"106","c_P07","5","CONTROL",-0.794630307199761,67.5645705413223,0.0828480359961144,-0.0496935143119436,-0.497678253142721,1,1.2,6.5,7,6,"low",1.41258861687544,-19.0314260541251,"CONTROL","CONTROL"
"107","c_P07","5","DIFF",0.562691674056438,92.4639296829268,2.86333947482674,2.57187449141711,2.93066564323328,0.75,12.2,6.5,7,6,"low",-0.841315247558222,-2.90604687528037,"DIFF","DIFF"
"108","c_P07","5","EASY",0.262784554429778,88.1779514604651,1.46827802016229,0.528942869780176,2.22122083555563,1,3,6.5,7,6,"low",1.4797391433995,-18.820928800605,"EASY","EASY"
"109","c_P08","0","CONTROL",-0.131269996428941,73.8516103929961,0.399255347693644,-0.312142971096475,-0.497678253142721,1,1.4,5.5,6,5,"low",0.315525274144417,-18.0195269791147,"CONTROL","CONTROL"
"110","c_P08","0","DIFF",0.782586317508564,90.4299480153846,0.40736892424357,0.923000450394567,0.548725232584537,0,9.6,5.5,6,5,"low",0.436234497286009,-18.3406387475082,"DIFF","DIFF"
